Source,Target
9836,127380
353486,455980
22538,49332
10882,23023
10191,82702
787,1620
310,59678
8363,384682
9836,80321
118,34584
11688,150689
812,150540
1865,10501
98566,308531
3933,9522
2454,346648
17899,223702
11775,390043
9447,452773
8277,22705
808,38757
935,4258
209112,308531
425,57800
8859,109439
10201,26275
3638,456086
810,11430
400547,511785
198663,261392
10527,270946
4256,5060
391713,398818
862,397422
114150,440021
14442,34584
245891,390043
4256,4258
19913,77338
4011,62213
10760,399796
274167,325133
357096,429733
10527,11430
378236,381341
49017,400155
10625,507143
24,9502
68721,98566
316029,318846
128,109414
530,399174
18905,57800
137116,150540
13,100042
510,271718
2062,456086
1824,1903
809,10192
350,581
187017,449176
26976,253344
107985,475210
35614,136799
9325,46195
82702,89492
52449,400928
2976,9757
1265,364689
1538,11775
7512,157350
22,390059
11631,109445
1824,346685
258509,335797
24428,207703
920,49013
15165,109445
772,416477
98566,194662
437029,538604
395,608
10808,11886
259694,392044
602,9982
862,50544
809,38055
927,412988
2275,290250
89185,507143
49017,249635
49519,93456
9353,11770
1571,10040
93456,274167
14,194662
8277,17899
10567,57800
604,98566
449176,511785
4771,106646
298,18785
510,82693
165,469052
114150,353616
772,384682
22970,460885
11932,214756
449176,455656
862,19913
93456,270946
391713,437557
1907,116745
41154,126889
13,35
370567,540620
411,346648
920,6477
954,37834
194,49519
10882,11688
11631,437557
37933,257445
1452,308531
9836,10527
9757,11565
10160,332210
7443,107846
808,140300
2270,9870
1924,137106
955,337170
256591,264660
810,268531
11003,390059
605,301337
318846,324786
114150,460019
433,460668
590,334533
249635,395991
954,228967
984,4638
36648,472918
9331,340022
10312,271718
39514,137094
179144,195589
4771,193893
472918,513691
8275,12620
10693,62177
345,418827
812,460793
20352,309809
6957,10995
607,608
525,313369
16314,454283
93456,209244
210860,281957
200727,417678
1024,72105
9880,272693
19913,397422
9732,332210
4944,332872
14128,15165
1452,324849
335797,353616
9737,37834
4771,429733
11423,50022
59436,333339
11430,150689
9880,50479
275,445571
131631,353486
1572,402900
2142,50022
376660,463053
562,340022
141052,364433
4523,10020
290762,376659
10192,10882
195589,376659
141052,363088
193893,417644
866,122906
920,364689
38,1824
9522,252838
86838,193893
387592,469052
1593,105864
691,454992
62211,109414
7512,101299
531,469052
222935,371638
9870,271718
76726,376660
20048,384677
138832,429733
9531,137106
13,122906
812,9502
7518,281957
281957,454619
206487,433310
37725,37735
7518,11886
745,460668
9738,137106
796,256591
4327,9053
37724,203801
256591,291805
809,49013
954,454992
138832,273481
62177,109445
62211,137116
325133,376659
817,818
150540,260513
8536,283995
350,466282
809,4523
350,600
9880,43923
156022,454619
69,134
72105,214756
10040,270487
129,159824
862,10193
672,159824
605,257344
348,228161
1278,6957
272,383498
417678,454983
671,159824
4247,238636
228150,249635
4327,9461
137094,228967
10501,38757
4944,11588
18885,356305
14873,46195
674,257445
3580,193893
2142,417644
269149,346364
9598,335797
118,122906
1924,364433
283995,299536
8914,116745
4771,290250
49013,270946
364689,463053
41630,137106
10865,11836
772,384677
120467,132344
111,134374
18785,324668
210860,336843
4257,416234
9472,312221
306,8961
1924,293660
620,4257
260346,291805
105,433310
8961,9737
106849,370567
4951,507143
43923,437557
10144,62177
10527,363676
769,106646
955,228967
36819,324852
290762,427900
10193,72105
13523,50544
818,9331
146216,228967
425,10567
125255,502682
43923,334533
14128,23023
2142,4638
809,38757
118,252
954,203801
13,397422
9479,14160
263109,387592
150689,224141
19840,455656
11836,228165
224141,458423
134,872
9023,145316
9958,22538
225886,274167
15157,196867
10138,454283
4944,50546
258509,260514
141052,383498
19908,294254
241554,291805
604,4327
256961,324668
200727,449176
691,302699
82703,364689
10591,10625
64688,75780
36647,339404
8363,193893
340027,416477
22538,359784
11224,15165
562,10040
425,209244
270487,445571
10872,353069
378236,416494
9732,10527
72105,77338
60304,136799
16129,22538
449176,455207
38167,472918
194,707
12437,181533
604,257344
284276,334533
272,98566
10096,258480
9880,37735
263109,399174
194,1278
134,1813
8363,11355
94666,253344
114,458423
9479,460793
652,9870
187017,272693
95610,400579
533,399174
32685,136799
11836,339846
950,7840
268531,406997
1824,18785
9928,157336
9039,270487
13,82693
101299,210860
100402,207703
62211,463053
9806,38055
957,4258
223702,384682
49022,454983
18785,109439
71552,112160
329,8355
281957,346648
411,22794
170,747
40508,356305
8363,195589
539,120467
106646,398181
6477,364689
88751,101299
708,7443
1571,270487
281957,455207
14,109414
8273,10330
10591,272693
920,100042
1593,135397
13342,376660
1930,98566
15969,46195
772,402900
10140,140300
261392,383538
50022,193893
272,134374
1571,227159
10625,511785
290250,395990
313369,342473
228165,339846
862,100042
112160,138697
105,469052
128,507562
195589,223702
2770,325133
7484,7518
11395,431530
13,41630
809,140300
129,76492
296099,454283
400928,437670
225886,376659
8346,11631
13523,72105
425,675
19913,100042
786,254470
1572,340022
10201,59861
11224,14411
106646,318846
49026,194662
1452,283995
7453,101299
9502,249635
691,238713
88751,131634
608,840
15165,38757
18360,181533
601,9982
102899,207703
205775,228165
152747,339846
9880,187017
376660,391713
5951,502682
810,332210
298,256961
22705,27066
10872,431530
10625,187017
810,218746
36647,356305
19908,336843
10193,10895
4771,417644
479,177572
562,227159
187017,511785
9353,9757
81,436931
76492,159824
8393,10527
11121,200727
76285,166426
13673,353069
120,11283
12429,49519
257211,475888
453,460668
13,89492
194,116711
10555,62177
581,210860
9880,286565
419430,503619
424,487558
4258,19908
38,19913
425,82702
818,238713
2976,462919
862,239563
11024,268896
8273,50124
602,41154
1701,7443
309809,445571
264644,445571
378236,489925
51828,200727
1402,11817
8961,9679
10694,227159
9531,293660
8536,137106
259694,281957
81,507562
4638,4771
2062,10137
62213,76492
1593,12144
87502,109439
86,50647
424,318846
8966,371638
272,339404
82703,433310
707,218836
530,469052
257344,333339
787,38055
445571,473149
19053,325133
578,116745
1892,503314
77,261392
1620,390043
225886,417830
3134,454619
271718,376659
8363,64688
193893,252838
1924,324849
156022,261392
14128,458423
9804,228165
52449,437670
1903,19913
425,11283
605,4327
9880,10625
10705,370567
52449,218746
184352,449176
390043,455980
9880,10591
24021,400155
41154,433310
19908,82654
82693,466282
22,166426
769,487558
14160,32085
769,318846
810,10882
12,127380
150689,196867
277,400155
260514,335797
259316,402900
672,76492
205775,339846
9447,218836
212778,334533
218746,400928
525,254470
38142,507562
935,402897
7518,10808
181533,205584
1724,308531
11298,22970
2062,460668
310,5876
253,787
12208,399170
10865,127380
10140,324852
49519,356305
2268,11774
9325,196867
195589,325133
16314,356305
9029,256961
68728,257445
862,41630
14,402897
2288,10096
268531,346364
533,14447
76492,400155
286538,538604
22970,98568
747,814
2062,6283
9448,10201
218746,449176
254470,354912
10315,269149
11631,293768
8871,431530
88751,351286
9904,10527
49519,399796
214756,250546
671,59436
328387,353486
11854,50646
9479,127380
955,238713
109445,136799
8277,325133
979,138697
1771,384677
646,37834
11464,11817
433,400579
14,112160
634,384682
9029,18785
88751,131631
310,311
11621,353616
101299,269149
17899,195589
96,417644
22538,42542
10591,449176
7131,400155
2062,308531
630,59436
10882,224141
129,436931
675,76492
808,4258
301337,500664
1883,487558
691,203801
621,462919
10625,89185
58,166426
53932,112160
818,955
671,76492
46195,172385
11631,257211
949,402900
348,9982
9928,87101
8584,363676
10144,11688
272693,507143
747,485415
118,9880
11775,396371
128,920
376867,449176
525,6477
627,109414
4248,10246
1452,293660
22970,298584
4327,11841
8536,324849
35056,241239
920,62211
9836,335797
196867,342473
955,302699
416477,429200
8273,11012
11224,342473
17899,122081
20352,342473
10948,13053
22705,24402
38055,127380
2770,106646
24420,50546
14160,326359
134,2005
9880,449176
281957,291805
603,257344
667,390043
4248,22705
3034,4256
953,80321
607,9982
9447,335797
7980,11283
251516,257344
1894,503314
1593,18360
9946,416477
11452,106646
177572,395834
9325,13053
9654,291805
810,71805
285,166426
9737,134374
4247,22705
177572,281957
6283,209244
818,1572
1903,261392
9982,228161
310,9946
272693,455656
12429,417830
314095,353486
8841,437670
296100,384682
19995,228161
10147,419680
141,122906
50124,252838
295964,456086
249070,390043
14,71552
41513,209112
20352,137116
708,38055
11121,454983
10591,511785
767,257445
8275,8277
437670,511785
34433,436931
325133,399796
4523,224141
1572,10501
111,400579
7453,126889
257211,258480
399170,449443
400547,437670
387592,399174
259694,336843
809,150689
36670,43593
808,8584
9325,342473
357096,454619
433,11631
712,390059
10315,395834
11931,17899
9598,452773
93456,116711
950,387893
2062,295964
137094,337170
22705,55580
1891,503314
411,14442
49013,228165
399170,430040
508747,538604
10315,359940
74,107985
152747,228165
41630,55721
824,313369
155,364433
310,604
116711,399796
10040,59965
8355,351286
82702,476926
376867,391713
155,194662
11224,196867
2142,35056
77338,290762
8390,50646
36669,454992
8961,340022
411,59436
809,810
1267,433310
64688,193893
126889,228161
8467,10201
10567,278154
36669,203801
209112,383498
11774,20352
19913,398818
585,62211
1586,4944
712,252838
9836,270946
10201,65851
769,371638
10315,281957
957,4256
298,399170
30505,57800
137116,342473
82693,417678
225886,239563
1452,363088
9472,348893
671,14442
14174,22705
93456,324852
4248,106646
2048,9928
448514,502682
376660,449176
1124,339404
4011,4257
14578,17899
38,50546
141052,293660
173,11836
483,227159
949,399170
585,137116
19913,50544
328387,378236
376660,378064
691,146216
809,224141
4247,17899
451480,502682
13260,474335
10625,37735
4771,138832
637,209244
7453,299687
437557,518452
2252,20352
9655,387592
4771,50022
109414,402897
1903,50544
6557,252838
8275,10760
101,11775
11224,224141
114887,474335
9757,10137
17609,22970
604,9502
1572,10040
694,460668
310307,402897
808,10020
14069,400928
8067,227159
20352,93456
1824,9870
184352,511785
562,270487
93456,417830
75656,402900
8961,337170
49519,417830
2300,150540
6557,8273
6557,9522
194,10999
769,384677
9447,260514
17610,57800
141052,324849
18360,38055
7512,97020
4523,10882
350,222935
5255,460793
90,64688
10035,18785
138832,339692
10555,127380
674,11283
257211,437557
11024,75780
11931,455207
177572,238636
7512,263115
270487,446791
10191,140300
2300,474335
2770,22705
2300,9353
179144,376659
43923,466282
50646,111969
6283,456086
2758,400579
9472,9955
4247,398181
10808,269149
2062,22794
2756,228165
169917,290250
82693,109689
11224,458423
10808,13053
49519,274167
4011,43074
1593,351286
50647,73881
376660,437557
787,249070
1726,454283
601,608
411,11774
808,10192
429733,445954
15069,429733
16314,324852
10882,14411
11817,16305
8363,449176
10545,342473
116745,403119
10555,297762
1267,290762
1572,8961
843,120467
6957,41280
920,127380
585,9691
11774,44826
359940,397422
53932,418827
9813,391713
376867,511785
11861,390059
10947,313369
1572,10096
225886,290762
22705,50124
1593,181533
254470,290762
810,10191
11775,156022
8277,399796
4247,429733
9522,50124
18885,454283
11931,50546
99861,207703
9291,9353
37735,449176
28468,418827
146216,337170
49519,116711
95610,290762
39514,254904
808,224141
808,150689
43074,91586
9472,13374
667,787
955,39514
747,19908
5915,420814
14160,145316
49017,62213
209112,363088
10020,458423
290762,376660
8584,281957
107985,109414
24,9522
10147,353069
297762,518452
39514,47964
296,218836
808,809
122,136799
11024,293167
2048,177572
13,290762
345,50647
10530,353616
681,37834
10830,400928
254470,353616
50124,371638
19913,72105
10688,370567
22152,376659
339988,378236
106646,138697
810,14411
449176,507143
75780,193893
660,43593
1267,463053
138697,249397
1726,207703
13,77338
14442,23023
4638,75780
272,194662
979,11452
425,387592
809,8584
49521,363088
95610,437557
9531,283995
1949,4638
411,210860
585,55721
9836,11224
667,146216
530,533
10258,80321
11631,95610
2062,334533
6957,10246
585,339404
402897,419430
8536,293660
809,11688
843,71552
1452,41513
16314,339404
35056,473149
11224,23023
7453,228161
11836,166426
8456,454619
193893,473149
26280,449176
10096,26973
9825,23023
674,14442
10140,270946
9928,198184
10555,109445
1452,383498
657,146216
4257,11544
87567,225886
89492,225886
863,18360
41513,49521
50544,72105
581,455207
18785,137093
10625,455656
9342,10501
374205,436931
2770,8363
350,8966
11,503314
8363,17899
324786,420814
769,259694
118,10830
449176,466282
19908,72190
429417,462919
644,7453
36557,256961
43074,201085
157336,228161
14161,107985
2270,11430
311,120467
93456,207703
13673,431530
1267,62211
2270,324852
608,817
105,22794
14671,37735
7518,10010
290762,370663
770,390059
11421,391713
981,109439
18785,256961
8355,135397
112160,437557
675,11283
35,122906
1593,22794
9502,140300
106646,400535
27576,203801
425,8273
2756,43593
10625,449176
49521,308531
747,72190
89492,112160
99861,363088
927,460793
35,5915
62213,201085
10527,80321
95610,332210
218746,372058
107846,134374
41513,141052
324786,487558
6957,112160
4247,11452
34433,507562
35,82703
11452,22705
64688,187017
935,109414
43074,416234
258489,353486
1656,50646
4944,455565
1924,283995
673,1267
2770,17899
17899,384682
259694,398181
114150,254470
1267,87101
13,239563
424,420814
72105,397422
531,399174
809,10882
11186,412988
72105,122906
449176,454983
8363,429733
291805,467938
146233,270487
179144,325133
9732,11430
862,72105
290762,463053
278927,346648
66945,456086
2062,10009
1452,137106
14372,43593
425,950
9023,13933
954,302699
9472,319888
2454,22794
35,398818
114150,290762
3933,14160
10808,278927
325133,417830
533,263109
8355,10567
101299,454983
9757,20352
9531,324849
111969,225886
11000,511785
86331,112160
11395,353069
107985,274855
808,14411
808,810
8272,274167
10068,418827
155,383498
14,503619
277216,400579
12092,150540
121734,452773
533,7443
20424,41154
6637,82702
808,4523
268531,400928
581,8584
425,278154
379,35056
8355,15997
11631,518452
112160,117486
707,146216
223702,376659
41154,49849
954,238713
17899,325133
89492,122906
11395,419680
122,249635
10808,281957
398818,449176
1865,166426
8277,122081
425972,518452
128,436931
77,1824
11452,17899
46195,278927
41513,299536
14900,412988
38,50544
4257,91586
1368,7443
671,257445
9353,9655
278154,387592
180,301337
62213,159824
49519,278154
50546,225886
363676,487558
223702,325133
4247,4258
578,10555
9880,466282
13597,412988
1903,50546
4248,17899
316029,420814
13,50647
2756,339846
17610,278154
455980,460019
36647,472918
10625,272693
9502,278927
11607,43593
10882,14442
37797,400928
97630,120467
1574,462919
10192,14442
1124,256591
809,14411
435,950
8275,325133
10193,38757
301337,335984
13673,419680
239563,290762
6477,10808
8871,353069
55292,472918
15165,224141
604,301337
10193,214756
11143,11817
96,8961
200727,281957
2642,384677
9870,11544
27576,238713
954,146216
9023,504492
767,159824
19458,376660
474335,489593
691,37834
55721,114150
605,9928
150540,460793
671,11774
862,77338
241239,416477
1452,364433
45243,109439
218836,395991
8871,419680
9598,260514
10654,50647
8275,112160
4248,112160
8966,455207
37645,429733
11571,88751
862,268531
10315,387592
8277,106646
330459,503314
4247,138697
348,41154
455980,489931
47964,228967
4256,40264
646,454992
630,313369
11817,287426
810,10192
6477,10191
11187,214756
342473,407655
405817,418827
10147,431530
769,420814
269149,338970
787,71552
810,11688
297708,370567
18360,44826
11899,412988
149,7512
112160,449176
27576,302699
100042,290762
424,371638
682,787
9353,11287
9023,326359
189,11024
630,11774
808,49013
1865,11836
271718,378018
402897,503619
9986,260514
25475,364689
106646,261023
11886,13053
605,98566
425,400579
639,35056
11360,150540
10528,11024
37724,454992
26390,417644
66125,452773
271718,325133
10872,419680
49521,364433
308369,466282
22,10501
116745,492336
82702,112160
954,337170
118,411
122,181533
807,290250
2105,455656
50022,75780
66894,474335
630,346648
585,1124
258480,518452
8966,59436
620,43074
9023,13246
257211,297762
1267,41630
935,503619
927,13053
646,302699
772,10096
1267,82703
363676,455980
82703,452773
80321,270946
863,181533
218836,335797
7453,336843
95610,297762
49519,209244
269149,278927
12556,50646
1571,340022
954,39514
374205,507562
10882,62177
44564,239563
138832,398181
332210,400579
49519,225886
280,19908
109414,503619
1440,71552
808,10882
333339,353486
425,49519
12689,466282
134374,339846
224141,462919
49519,387592
11033,256591
134,1125
